"estimate","Party","Name"
-2.12479121,"Democratic Party","Democratic Party"
2.1103434,"Republican Party","Republican Party"
2.77647929,"Donald Trump","Donald Trump"
1.02766035,"Supreme Court","Supreme Court"
-3.03654064,"Democratic","Beto O'Rourke"
-2.41063637,"Democratic","Sherrod Brown"
-2.44767547,"Democratic","Kyrsten Sinema"
-2.00327457,"Democratic","Bob Casey, Jr."
-1.58914161,"Democratic","Phil Bredesen"
-2.1306116,"Democratic","Bill Nelson"
-2.38771575,"Democratic","Amy Klobuchar"
-2.46201274,"Democratic","Debbie Stabenow"
-2.87243987,"Democratic","Chris Murphy"
-2.01596239,"Democratic","Jane Raybould"
-2.35901188,"Democratic","Dianne Feinstein"
-2.47275507,"Democratic","Tim Kaine"
-2.6207969,"Democratic","Kirsten Gillibrand"
-2.32799484,"Democratic","Ben Cardin"
-2.50492271,"Democratic","Maria Cantwell"
-1.60044797,"Democratic","Joe Donnelly"
-3.76872017,"Democratic","Elizabeth Warren"
-2.40852442,"Democratic","Bob Menendez"
-1.91909257,"Democratic","Heidi Heitkamp"
-2.52914807,"Democratic","Claire McCaskill"
-1.469609137,"Democratic","Gary Trauner"
-2.60041894,"Democratic","Jacky Rosen"
-2.01934453,"Democratic","Jon Tester"
-3.00872193,"Democratic","Tammy Baldwin"
-2.40547856,"Democratic","Sheldon Whitehouse"
-1.76402172,"Independent","Angus King"
-1.76730983,"Democratic","Jenny Wilson"
-1.37353297,"Democratic","David Baria"
-1.010887564,"Democratic","Joe Manchin"
-2.41123971,"Democratic","Martin Heinrich"
-2.17769759,"Democratic","Tom Carper"
-3.03863173,"Democratic","Mazie Hirono"
-4.38150198,"Independent","Bernie Sanders"
3.76889175,"Republican","Ted Cruz"
2.14038326,"Republican","Jim Renacci"
2.5402586,"Republican","Martha McSally"
2.55290782,"Republican","Lou Barletta"
3.06525427,"Republican","Marsha Blackburn"
2.6061574,"Republican","Rick Scott"
1.81170718,"Republican","Jim Newberger"
2.19205319,"Republican","John James"
1.010486412,"Republican","Matthew Corey"
2.81836484,"Republican","Deb Fischer"
-2.5998857,"Democratic","Kevin de Leon"
3.16209735,"Republican","Corey Stewart"
0.340320125,"Republican","Chele Chiavacci Farley"
0.728542491,"Republican","Tony Campbell"
2.04343261,"Republican","Susan Hutchison"
2.58651494,"Republican","Mike Braun"
1.87817007,"Republican","Geoff Diehl"
1.84868407,"Republican","Robert Hugin"
3.40080118,"Republican","Kevin Cramer"
2.45197343,"Republican","Josh Hawley"
2.9356021,"Republican","John Barrasso"
2.1398992,"Republican","Dean Heller"
2.86552288,"Republican","Matt Rosendale"
2.66705207,"Republican","Leah Vukmir"
1.61146985,"Republican","Robert Flanders"
2.01878856,"Republican","Eric Brakey"
1.76470553,"Republican","Mitt Romney"
2.50501564,"Republican","Roger Wicker"
2.44241998,"Republican","Patrick Morrisey"
1.89923882,"Republican","Mick Rich"
2.37710275,"Republican","Robert Arlett"
0.861403503,"Republican","Ron Curtis"
1.481098159,"Republican","Lawrence Zupan"
-2.23216998,"Democratic","Tina Smith"
-2.06431595,"Democratic","Mike Espy"
2.22868086,"Republican","Karin Housley"
2.29429525,"Republican","Cindy Hyde-Smith"
2.27716545,"Republican","John Cornyn"
1.90618992,"Republican","Rob Portman"
2.84286501,"Republican","Mitch McConnell"
0.691662016,"Republican","Jeff Flake"
2.26550247,"Republican","Richard Burr"
-2.46374812,"Democratic","Dick Durbin"
1.107607247,"Republican","Bob Corker"
1.52266848,"Republican","Ben Sasse"
-1.84414556,"Democratic","Mark Warner"
-2.49508775,"Democratic","Chuck Schumer"
-2.92336842,"Democratic","Jeff Merkley"
-2.49882191,"Democratic","Jeanne Shaheen"
3.06435049,"Republican","Chuck Grassley"
1.88416666,"Republican","Cory Gardner"
2.35359823,"Republican","Jerry Moran"
-2.30812991,"Democratic","Ed Markey"
2.37509844,"Republican","Lindsey Graham"
2.37944235,"Republican","Bill Cassidy"
2.40371973,"Republican","David Perdue"
-2.55431498,"Democratic","Catherine Cortez Masto"
-2.01877453,"Democratic","Doug Jones"
2.47286354,"Republican","Ron Johnson"
2.99556145,"Republican","James Lankford"
-2.08049875,"Democratic","Jack Reed"
3.57661182,"Republican","Mike Lee"
2.49078145,"Republican","Jim Risch"
-2.42967308,"Democratic","Chris Coons"
2.01270774,"Republican","John Boozman"
-2.44189321,"Democratic","Brian E. Schatz"
2.55825812,"Republican","Daniel S. Sullivan"
2.29583221,"Republican","John Thune"
2.57113908,"Republican","Rand Paul"
2.15759424,"Republican","Jon Kyl"
2.12066325,"Republican","Pat Toomey"
2.28931756,"Republican","Thom Tillis"
-2.63100294,"Democratic","Tammy Duckworth"
1.42261325,"Republican","Lamar Alexander"
2.14313043,"Republican","Marco Rubio"
-1.67896579,"Democratic","Gary Peters"
-2.9494875,"Democratic","Richard Blumenthal"
-3.01362117,"Democratic","Kamala Harris"
-2.54789624,"Democratic","Ron Wyden"
-2.21439541,"Democratic","Chris Van Hollen"
-2.68299324,"Democratic","Patty Murray"
2.2580218,"Republican","Todd C. Young"
-2.54462338,"Democratic","Maggie Hassan"
2.76664088,"Republican","Joni Ernst"
-1.76644733,"Democratic","Michael Bennet"
2.82843772,"Republican","Pat Roberts"
2.26454237,"Republican","Tim Scott"
-3.22300837,"Democratic","Cory Booker"
2.46919116,"Republican","John Neely Kennedy"
1.94417858,"Republican","John Hoeven"
2.08228425,"Republican","Johnny Isakson"
2.3849151,"Republican","Roy Blunt"
2.21904973,"Republican","Mike Enzi"
2.32035984,"Republican","Steve Daines"
2.06019817,"Republican","Richard Shelby"
3.21532979,"Republican","Jim Inhofe"
0.844134885,"Republican","Susan Collins"
2.9923471,"Republican","Orrin Hatch"
2.35507998,"Republican","Mike Crapo"
1.83097462,"Republican","Shelley Moore Capito"
-2.29210734,"Democratic","Tom Udall"
3.19777478,"Republican","Tom Cotton"
-0.5270359917,"Republican","Lisa Murkowski"
-2.40242371,"Democratic","Patrick Leahy"
2.10323597,"Republican","Mike Rounds"
-2.07056439,"Democratic","Sylvia Garcia"
-2.68530208,"Democratic","Aftab Pureval"
-2.44873945,"Democratic","John Yarmuth"
-1.71112844,"Democratic","Greg Stanton"
-1.53163232,"Democratic","Ronald DiNicola"
-1.363402666,"Democratic","Phillip Price"
-2.2017522,"Democratic","Lorie Burch"
-1.615345456,"Democratic","Joan Greene"
-2.01742845,"Democratic","Mike Quigley"
-0.8424574936,"Democratic","Dawn Barlow"
-2.01668655,"Democratic","Ted Deutch"
-2.63353086,"Democratic","Joe Radinovich"
-2.25041893,"Democratic","Matt Longjohn"
-1.98550754,"Democratic","Joe Courtney"
-2.05471287,"Democratic","Jessica McClure"
-2.00610091,"Democratic","Madeleine Dean"
-2.06194423,"Democratic","Sanjay Patel"
-3.66185111,"Democratic","Barbara Lee"
-1.4713603,"Democratic","David Holden"
-1.326597439,"Democratic","Brent Ottaway"
-1.671786403,"Democratic","April Freeman"
-2.37228756,"Democratic","Gerald Connolly"
-1.589080621,"Democratic","Ian Todd"
-2.57861788,"Democratic","Zoe Lofgren"
-1.90091369,"Democratic","Matt Cartwright"
-1.84728636,"Democratic","Conor Lamb"
-1.73464645,"Democratic","Scott Peters"
-1.79979502,"Democratic","Ann Kirkpatrick"
-1.56926721,"Democratic","Anthony Brindisi"
-2.68226145,"Democratic","Peter DeFazio"
-2.158586796,"Democratic","Tatiana Matta"
-1.83177179,"Democratic","David Trone"
-1.97326837,"Democratic","Rick Larsen"
-1.166671421,"Democratic","Dana Cottrell"
-2.30702328,"Democratic","Liz Watson"
-2.766558,"Democratic","Dana Balter"
-2.18113824,"Democratic","Betsy Rader"
-2.36661672,"Democratic","Andy Levin"
-1.92196329,"Democratic","Mike Levin"
-2.20341805,"Democratic","Ann Kuster"
-2.19453784,"Democratic","Mary Jennings ""MJ"" Hegar"
-1.70728034,"Democratic","Mike Doyle"
-0.6312270495,"Democratic","Daniel Lipinski"
-2.01175187,"Democratic","Sara Dady"
-2.09876922,"Democratic","Mike Siegel"
-1.67123398,"Democratic","Vanessa Enoch"
-2.07939643,"Democratic","Bradley Schneider"
-1.77951902,"Democratic","Brendan Kelly"
-2.02526593,"Democratic","Dave Loebsack"
-1.61070096,"Democratic","Karen McCormick"
-1.370517225,"Democratic","Denny Wolff"
-2.90464444,"Democratic","Sharice Davids"
-2.37224416,"Democratic","Katherine Clark"
-0.5385361975,"Democratic","Robert Williams"
-2.06766692,"Democratic","Danny O'Connor"
-1.97930487,"Democratic","Donald Norcross"
-2.60493972,"Democratic","Leslie Cockburn"
1.434924543,"Republican","Josh Guillory"
-1.1829526,"Democratic","Tom Suozzi"
-1.73021222,"Democratic","Mac Schneider"
-2.37240021,"Democratic","Gregory Meeks"
-2.24485373,"Democratic","Lucy McBath"
-1.91482796,"Democratic","Dan Kildee"
-2.10511776,"Democratic","Donald Payne, Jr."
-2.62623307,"Democratic","Emanuel Cleaver"
-2.17697046,"Democratic","Raul Ruiz"
-1.108157662,"Democratic","Greg Hunter"
-2.55715087,"Democratic","Andy Kim"
-1.541193328,"Democratic","George Selmont"
-1.89808769,"Democratic","Kimberly Bizon"
-2.60017219,"Democratic","Eric Swalwell"
-1.94291725,"Democratic","Elissa Slotkin"
-2.68755934,"Democratic","Bonnie Watson Coleman"
-2.35316484,"Democratic","Dina Titus"
-2.01822786,"Democratic","Susie Lee"
-0.81206549,"Democratic","Alan LaPolice"
-2.27036502,"Democratic","Hiral Tipirneni"
-2.27124292,"Democratic","Kathleen Williams"
-1.403364785,"Democratic","Jesse Colvin"
-2.05221591,"Democratic","Tabitha Johnson-Green"
-2.55085666,"Democratic","Steve Cohen"
-2.22504864,"Democratic","Jim Himes"
-1.6084303,"Democratic","Kurt Schrader"
-2.33600289,"Democratic","Joyce Beatty"
-1.276141811,"Democratic","Bob Rackleff"
-2.06398759,"Democratic","Mary Gay Scanlon"
-2.58364928,"Democratic","Lois Frankel"
-1.99828426,"Democratic","Kathleen Rice"
-1.215092274,"Democratic","Kathy Ellis"
-0.405618929635,"Democratic","Lee Auman"
-2.77985366,"Democratic","John Lewis"
-1.667226293,"Democratic","Steven David"
-2.45782079,"Democratic","Chris Pappas"
0.383232611071,"Democratic","Kenneth Stepp"
-2.99508784,"Democratic","Mark Pocan"
-1.73933504,"Democratic","William Keating"
-2.47164323,"Democratic","Lizzie Pannill Fletcher"
-1.292645127,"Democratic","Marc Friedenberg"
-2.45969807,"Democratic","Betty McCollum"
-0.55759729081,"Democratic","Frankie Robbins"
-2.89516276,"Democratic","Rosa DeLauro"
-2.49409743,"Democratic","Ruben Gallego"
-2.05707313,"Democratic","Sean Casten"
-2.18835989,"Democratic","Jennifer Lewis"
-2.1488416,"Democratic","Jackie Speier"
-1.87958294,"Democratic","Jill Schiller"
-1.171644144,"Democratic","Ryan Watts"
-1.99228201,"Democratic","Tim Ryan"
-1.66620083,"Democratic","David Scott"
-2.6722384,"Democratic","Randy Bryce"
-2.22524896,"Democratic","Suzan DelBene"
-1.76447004,"Democratic","Charlie Crist"
-1.504585887,"Democratic","Catherine Krantz"
-2.10541481,"Democratic","Kim Schrier"
-2.35204979,"Democratic","Perry Gershon"
-2.20816206,"Democratic","Vangie Williams"
-2.11113208,"Democratic","Cort VanOstran"
-2.2200424,"Democratic","Steven Horsford"
-1.64687,"Democratic","Clint Koble"
-2.15894355,"Democratic","Adriano Espaillat"
-2.1653801,"Democratic","Miguel Levario"
-2.62626386,"Democratic","Diane Mitsch Bush"
-1.49278001,"Democratic","Rick Neal"
-2.27464885,"Democratic","Gretchen Driskell"
-1.83587696,"Democratic","Al Lawson"
-2.15007399,"Democratic","Mark DeSaulnier"
-2.10045417,"Democratic","Stephany Rose Spaulding"
-2.54763457,"Democratic","David Cicilline"
-1.85050799,"Democratic","Stephanie Murphy"
-2.53897441,"Democratic","Jamie McLeod-Skinner"
-0.9951525679,"Democratic","Tammy Savoie"
-1.92609941,"Democratic","Grace Napolitano"
-2.19784698,"Democratic","Colin Allred"
-1.023648207,"Democratic","Collin Peterson"
-1.506364325,"Democratic","Paul Davis"
-3.6908861,"Democratic","Ayanna Pressley"
-1.72383948,"Democratic","Ron Kind"
-2.22839176,"Democratic","Marcy Kaptur"
-2.15392069,"Democratic","Cindy Axne"
-2.18787943,"Democratic","Steny Hoyer"
-1.369333803,"Democratic","Ken Harbaugh"
-0.43019504597,"Democratic","Mary Brannon"
-2.61728562,"Democratic","Angie Craig"
-2.25690805,"Democratic","Junius Rodriguez"
-0.973228028,"Democratic","Marty Olsen"
-2.80845609,"Democratic","Joaquin Castro"
-2.71067778,"Democratic","Chellie Pingree"
-1.234642441,"Democratic","Danner Kline"
-1.356357494,"Democratic","Brendan Boyle"
-2.80990857,"Democratic","Al Green"
-2.40353025,"Democratic","Salud Carbajal"
-2.23718323,"Democratic","Lauren Underwood"
-2.00494705,"Democratic","Anita Malik"
-2.15105906,"Democratic","Margaret Engebretson"
0.215266297272,"Democratic","Steven Foster"
-1.632685123,"Democratic","Renee Hoagenson"
-2.20258536,"Democratic","Haley Stevens"
-2.15520415,"Democratic","Linda Coleman"
-1.676847112,"Democratic","Jan McDowell"
-1.414643924,"Democratic","Beau Liegeois"
-2.10805914,"Democratic","Linsey Fagan"
-2.18453867,"Democratic","Susan Davis"
-1.179514881,"Democratic","Francys Johnson"
-2.30385982,"Democratic","Nita Lowey"
-3.98166139,"Democratic","Pramila Jayapal"
-1.578925464,"Democratic","Susan Boser"
-0.029059152261,"Democratic","Sean Carrigan"
-1.662704566,"Democratic","Susan Moran Palmer"
-1.79633613,"Democratic","Nancy Soderberg"
-1.84275114,"Democratic","Shireen Ghorbani"
-1.179055595,"Democratic","Henry Martin"
-1.29834716,"Democratic","Cristina McNeil"
-2.48925426,"Democratic","Diana DeGette"
-1.614107867,"Democratic","Kyle Horton"
-2.16960718,"Democratic","Alan Lowenthal"
-2.06072617,"Democratic","Donna Shalala"
-2.13836366,"Democratic","Jana Lynne Sanchez"
-2.4481441,"Democratic","Bobby Scott"
-2.63653452,"Democratic","Jesus ""Chuy"" Garcia"
-1.370200148,"Democratic","Paul Theobald"
-2.01189002,"Democratic","Tedra Cobb"
-3.08387156,"Democratic","Gina Ortiz Jones"
-0.499354633171,"Democratic","Justin DeWitt"
-2.33462884,"Democratic","Abby Finkenauer"
-2.13119684,"Democratic","Todd Litton"
-2.49185061,"Democratic","James McGovern"
-1.052717751,"Democratic","David Wilson Brown"
-1.7864158,"Democratic","David Brill"
-1.56095167,"Democratic","Justin Kanew"
-2.24224908,"Democratic","Anthony Flaccavento"
-2.57153629,"Democratic","Rashida Tlaib"
-1.52104086,"Democratic","J.D. Scholten"
-2.34599377,"Democratic","Andrew Janz"
-2.65869222,"Democratic","Nydia Velazquez"
-2.0827453,"Democratic","Grace Meng"
-1.167723973,"Democratic","Brandon Brown"
-2.88847584,"Democratic","Sheila Jackson Lee"
-1.92504531,"Democratic","Bill Pascrell, Jr."
-1.473017031,"Democratic","Tom Palzewicz"
-1.210144682,"Democratic","Kendra Horn"
-1.75870454,"Democratic","Joseph Morelle"
-1.88033226,"Democratic","James Thompson"
-2.0439853,"Democratic","Brad Sherman"
-2.24894923,"Democratic","Hakeem Jeffries"
-2.11249788,"Democratic","John Larson"
-1.92747601,"Democratic","Debbie Mucarsel-Powell"
-1.97483967,"Democratic","Chrissy Houlahan"
-1.9369599,"Democratic","Lee Castillo"
-0.807512829,"Democratic","Jeff Van Drew"
-1.88509139,"Democratic","Kathy Manning"
-1.98094817,"Democratic","Kathy Castor"
2.01820259,"Republican","Paul Cook"
-1.7085955,"Democratic","Janet Garrett"
-1.766781511,"Democratic","Henry Cuellar"
-0.8963711873,"Democratic","Dan Wood"
-1.85362303,"Democratic","Joseph Kopser"
-1.447225537,"Democratic","Mariah Phillips"
-2.13939974,"Democratic","Tracy Mitrano"
-2.42395899,"Democratic","Jimmy Gomez"
-2.10837426,"Democratic","Brenda Lawrence"
-2.61536417,"Democratic","Jennifer Wexton"
-2.39987837,"Democratic","Veronica Escobar"
-1.496862968,"Democratic","Ben McAdams"
-1.432215148,"Democratic","Carolyn Bourdeaux"
-1.76301227,"Democratic","John Garamendi"
-1.817709873,"Democratic","Cathy Albro"
-2.25099472,"Democratic","Lisa Ring"
-1.56582796,"Democratic","Rob Davidson"
-2.092279,"Democratic","Jim Langevin"
-2.08510531,"Democratic","Renee Hoyos"
-3.04112678,"Democratic","Kara Eastman"
-0.5624414328,"Democratic","Jessee Carlton Fleenor"
-0.9412381308,"Democratic","Mary Geren"
-2.042295136,"Democratic","Shirley McKellar"
-2.14909925,"Democratic","Susan Ellis Wild"
-1.82878673,"Democratic","Lori Trahan"
-1.73274565,"Democratic","Bibiana Boerio"
-1.076389338,"Democratic","James Singer"
-1.56963215,"Democratic","Kevin Gaither"
-2.66310972,"Democratic","Bennie Thompson"
-2.49109386,"Democratic","Linda Sanchez"
-1.696657509,"Democratic","Jeramey Anderson"
-2.38256162,"Democratic","Tony Cardenas"
-2.00340216,"Democratic","Richard Ojeda"
-2.12804771,"Democratic","Dayna Steele"
-2.12890993,"Democratic","Terri Sewell"
-2.55319141,"Democratic","Jahana Hayes"
-1.234514185,"Democratic","Dan McCready"
-1.703208111,"Democratic","Julia Peacock"
-2.22022788,"Democratic","Robin Kelly"
-2.53242837,"Democratic","Ted Lieu"
-2.41194103,"Democratic","Carolyn Long"
-2.189341,"Democratic","Julia Brownley"
-1.57080767,"Democratic","Talley Sergent"
-2.28260827,"Democratic","Abigail Spanberger"
-1.373776736,"Democratic","Joe Cunningham"
-2.1318582,"Democratic","Josh Harder"
-2.16175762,"Democratic","Cedric Richmond"
-0.983158253,"Democratic","Frank McNeill"
-1.86199413,"Democratic","Sanford Bishop, Jr."
-2.75783237,"Democratic","Gwen Moore"
-1.9741779,"Democratic","Mikie Sherrill"
-1.67594403,"Democratic","Shawna Roberts"
-4.05634587,"Democratic","Alexandria Ocasio-Cortez"
-2.13513986,"Democratic","Pete Aguilar"
-1.435199666,"Democratic","Jamie Schoolcraft"
-1.80194504,"Democratic","Mary Barzee Flores"
-1.288756417,"Democratic","Kristen Carlson"
0.0390049740359,"Democratic","Josh McCall"
-2.05909634,"Democratic","Doris Matsui"
-2.18008323,"Democratic","Vanessa Adia"
-2.23084993,"Democratic","Donald McEachin"
-2.62758974,"Democratic","Suzanne Bonamici"
-2.04730754,"Democratic","Christine Brown"
-2.32192645,"Democratic","Ben Lujan"
-1.91509733,"Democratic","Jessica Morse"
-2.29262774,"Democratic","Lisa Blunt Rochester"
-1.82195544,"Democratic","Clarke Tucker"
-0.75897225441,"Democratic","Erika Stotts Pearson"
-1.85056346,"Democratic","Peter Visclosky"
-2.5330082,"Democratic","Dwight Evans"
-2.34550833,"Democratic","Elanie Luria"
-1.443662862,"Democratic","Chris Hunter"
-1.420491708,"Democratic","Archie Parnell"
-2.65553651,"Democratic","William ""Lacy"" Clay, Jr."
-1.333903057,"Democratic","Danielle Mitchell"
-2.86908185,"Democratic","Eleanor Holmes Norton"
-2.71924292,"Democratic","Andre Carson"
-1.360397901,"Democratic","Hayden Shamel"
-1.61637304,"Democratic","Denise Adams"
-0.6253744768,"Democratic","Ed Case"
-1.73093473,"Democratic","Max Rose"
-1.82270594,"Democratic","Sri Preston Kulkarni"
-2.85071423,"Democratic","Jessica King"
-2.22382117,"Democratic","Eddie Bernice Johnson"
-1.93030239,"Democratic","Frank Pallone, Jr."
-2.55337694,"Democratic","Debbie Wasserman Schultz"
-1.640333441,"Democratic","Randy Wadkins"
-0.36570238889829,"Democratic","Chuck Enderlin"
-0.765551869,"Democratic","Joshua Mahony"
-2.02228045,"Democratic","Julie Oliver"
-1.54775127,"Democratic","Josh Gottheimer"
-2.41238291,"Democratic","Alma Adams"
-0.81670849258,"Democratic","Michael Evans"
-2.11683216,"Democratic","Bill Foster"
-0.823628187,"Democratic","Aaron Swisher"
-1.106516717,"Democratic","Tim Gilpin"
-1.61646851,"Democratic","Nate McMurray"
-1.28267889,"Democratic","Mallory Hagan"
-2.20500678,"Democratic","Audrey Denney"
-2.09837348,"Democratic","Carolyn Maloney"
-2.20888995,"Democratic","Anthony Brown"
-0.964832715,"Democratic","Peter Joffrion"
-1.593713297,"Democratic","William Tanoos"
-1.82823441,"Democratic","Brian Higgins"
-1.39114853,"Democratic","Dee Thornton"
-1.502689293,"Democratic","Jose Serrano"
-1.552482032,"Democratic","Katy Geppert"
-1.73704199,"Democratic","Filemon Vela"
-1.763677,"Democratic","Darren Soto"
-0.780709781,"Democratic","Hank Linderman"
-2.24116436,"Democratic","Tom Malinowski"
-1.170392706,"Democratic","Kendra Fershee"
-1.0760690715,"Democratic","Chintan Desai"
-2.22584938,"Democratic","Cheri Bustos"
-1.655186317,"Democratic","Rick Kennedy"
-2.18974772,"Democratic","Jared Golden"
-1.9124032,"Democratic","G.K. Butterfield"
-1.503001229,"Democratic","Jason Crow"
-1.74824228,"Democratic","Joe Neguse"
-2.09942346,"Democratic","Joshua Welle"
-1.5731443,"Democratic","Jim Cooper"
-2.0102847,"Democratic","Paul Tonko"
-2.49050134,"Democratic","Debbie Dingell"
-1.93578334,"Democratic","Jerry McNerney"
-1.76187478,"Democratic","Dan Kohl"
-2.87683322,"Democratic","Marcia Fudge"
-2.09714474,"Democratic","Yvonne Hayes Hinson"
-2.71557363,"Democratic","Lisa Brown"
-2.33918842,"Democratic","Judy Chu"
-1.43281056,"Democratic","George Scott"
-1.49844683,"Democratic","Tom O'Halleran"
-1.95584505,"Democratic","Ed Perlmutter"
-1.95323851,"Democratic","Alyse Galvin"
-0.42772635035,"Democratic","Paul Walker"
-1.95657769,"Democratic","Derek Kilmer"
-2.68674169,"Democratic","Jerrold Nadler"
-2.45443758,"Democratic","Karen Bass"
-2.49437675,"Democratic","Joseph Kennedy III"
-1.73793135,"Democratic","Jim Costa"
-2.56380665,"Democratic","Nancy Pelosi"
-1.290695389,"Democratic","Stephen Lynch"
-1.682818646,"Democratic","Lloyd Doggett"
-1.91463409,"Democratic","Denny Heck"
-3.07352866,"Democratic","Raul Grijalva"
-2.87568959,"Democratic","Earl Blumenauer"
-2.1026354,"Democratic","Courtney Tritch"
-2.00762845,"Democratic","Katie Hill"
-1.474491902,"Democratic","Greg Sagan"
-1.537707945,"Democratic","Jerry Hilliard"
-1.69285868,"Democratic","Michael Galbraith"
-1.359637328,"Democratic","TJ Cox"
-2.20166761,"Democratic","Liuba Grechen Shirley"
-2.35844703,"Democratic","Frederica Wilson"
-2.20624077,"Democratic","Sean Patrick Maloney"
-1.73631019,"Democratic","Eric Holguin"
-1.94492661,"Democratic","Albio Sires"
-1.95742788,"Democratic","Dan Feehan"
-1.84942245,"Democratic","Adam Smith"
-1.88479282,"Democratic","Eliot Engel"
-2.16247421,"Democratic","Ro Khanna"
-1.912804176,"Democratic","Jimmy Panetta"
-1.453419479,"Democratic","Tobi Beck"
-2.56468647,"Democratic","Adam Schiff"
-1.857582047,"Democratic","Norma Torres"
-1.589652461,"Democratic","Robert Kennedy, Jr."
-2.02851606,"Democratic","Mark Takano"
-1.53816069,"Democratic","Jennifer Zimmerman"
-3.15384477,"Democratic","Ilhan Omar"
-2.3479012,"Democratic","Raja Krishnamoorthi"
-2.02509108,"Democratic","Theresa Gasper"
-1.88728009,"Democratic","David Price"
-2.44197793,"Democratic","Lucille Roybal-Allard"
-2.70654073,"Democratic","Jamie Raskin"
-2.12355872,"Democratic","Ami Bera"
-2.02656668,"Democratic","Adrienne Bell"
-2.35268396,"Democratic","Jared Huffman"
-1.70527991,"Democratic","Matt Morgan"
-1.92757721,"Democratic","James Clyburn"
-1.73811048,"Democratic","David Shapiro"
-2.5124823,"Democratic","Don Beyer"
-1.85407627,"Democratic","Mel Hall"
-2.0712059,"Democratic","Juan Vargas"
-2.90257505,"Democratic","Jan Schakowsky"
-2.40741035,"Democratic","Lauren Baer"
-1.03954644,"Democratic","Seth Hall"
-1.71501296,"Democratic","Richard Neal"
-2.77039173,"Democratic","Bobby Rush"
